Date,p,e,w,peu
2000/01,59.80832658,9.4793,80.27408,168.8
2000/02,60.33884472,9.4456,79.56829,169.8
2000/03,60.6733558,9.2959,79.1296,171.2
2000/04,61.01856512,9.3748,78.68193,171.3
2000/05,61.24666691,9.5081,78.3889,171.5
2000/06,61.60945191,9.7978,77.92731,172.4
2000/07,61.84978026,9.4688,77.62451,172.8
2000/08,62.18964046,9.2846,77.2003,172.8
2000/09,62.64393363,9.3319,76.64044,173.7
2000/10,63.075302,9.5182,76.1163,174
2000/11,63.61460798,9.5179,75.47101,174.1
2000/12,64.30330726,9.4439,74.6627,174
2001/01,64.65978794,9.7701,79.43089,175.1
2001/02,64.61699498,9.7027,79.48349,175.8
2001/03,65.02639374,9.6182,78.98307,176.2
2001/04,65.35440947,9.3508,78.58665,176.9
2001/05,65.50437588,9.1467,78.40674,177.7
2001/06,65.65930934,9.0957,78.22172,178
2001/07,65.4887106,9.156,78.42549,177.5
2001/08,65.87671289,9.1272,77.96358,177.5
2001/09,66.48995136,9.3841,77.24452,178.3
2001/10,66.79045731,9.3685,76.89698,177.7
2001/11,67.04205702,9.2223,76.6084,177.4
2001/12,67.13490247,9.1672,76.50245,176.7
2002/01,67.7546363,9.1614,80.18098,177.1
2002/02,67.71107918,9.1062,80.23256,177.8
2002/03,68.05743473,9.0809,79.82424,178.8
2002/04,68.42919862,9.1317,79.39057,179.8
2002/05,68.56789368,9.4899,79.22998,179.8
2002/06,68.90221371,9.7378,78.84555,179.9
2002/07,69.10001172,9.7978,78.61986,180.1
2002/08,69.36274679,9.8258,78.32206,180.7
2002/09,69.77995076,10.0425,77.85378,181
2002/10,70.0875094,10.0961,77.51214,181.3
2002/11,70.65435513,10.2032,76.89028,181.3
2002/12,70.96191376,10.1982,76.55702,180.9
2003/01,71.24878459,10.5762,79.68324,181.7
2003/02,71.44669788,10.9216,79.46251,183.1
2003/03,71.89769193,10.9427,78.96406,184.2
2003/04,72.02043955,10.6324,78.82948,183.8
2003/05,71.78804659,10.2506,79.08467,183.5
2003/06,71.84735162,10.4953,79.01939,183.7
2003/07,71.95148021,10.4434,78.90503,183.9
2003/08,72.16732293,10.7327,78.66904,184.6
2003/09,72.59693958,10.9255,78.20349,185.2
2003/10,72.86312262,11.1704,77.91779,185
2003/11,73.46789598,11.1145,77.27639,184.5
2003/12,73.78372973,11.2629,76.94561,184.3
2004/01,74.24230931,10.9308,79.72395,185.2
2004/02,74.68640743,11.0128,79.2499,186.2
2004/03,74.93948818,10.9984,78.98227,187.4
2004/04,75.05258149,11.2535,78.86325,188
2004/05,74.86432251,11.5119,79.06157,189.1
2004/06,74.98431175,11.379,78.93505,189.7
2004/07,75.18084586,11.4735,78.7287,189.4
2004/08,75.64494218,11.3957,78.24569,189.5
2004/09,76.27040334,11.4858,77.60403,189.9
2004/10,76.79863185,11.3864,77.07026,190.9
2004/11,77.45374553,11.3938,76.41839,191
2004/12,77.61373118,11.21,76.26087,190.3
2005/01,77.61648956,11.2556,79.68209,190.7
2005/02,77.87508706,11.1502,79.41749,191.8
2005/03,78.22609007,11.1326,79.06114,193.3
2005/04,78.50468579,11.1262,78.78057,194.6
2005/05,78.30746209,10.992,78.97899,194.4
2005/06,78.23229641,10.834,79.05487,194.5
2005/07,78.53847586,10.6931,78.74668,195.4
2005/08,78.63226056,10.6703,78.65275,196.4
2005/09,78.94740472,10.7791,78.33879,198.8
2005/10,79.14118045,10.8312,78.14698,199.2
2005/11,79.71078455,10.6903,77.58855,197.6
2005/12,80.20039583,10.6201,77.11488,196.8
2006/01,80.67069849,10.5679,79.73192,198.3
2006/02,80.7941357,10.4813,79.61011,198.7
2006/03,80.89550592,10.7061,79.51035,199.8
2006/04,81.01411598,11.0206,79.39394,201.5
2006/05,80.65345866,11.0758,79.74896,202.5
2006/06,80.72310758,11.3864,79.68015,202.9
2006/07,80.94446705,11.0268,79.46225,203.5
2006/08,81.35753346,10.8739,79.05881,203.9
2006/09,82.17883914,10.9722,78.26868,202.9
2006/10,82.53811727,10.9201,77.92799,201.8
2006/11,82.97118189,10.8948,77.52125,201.5
2006/12,83.45113886,10.865,77.0754,201.8
2007/01,83.88213471,10.9344,79.66072,202.416
2007/02,84.11659644,10.988,79.43868,203.499
2007/03,84.29864909,11.125,79.26712,205.352
2007/04,84.24830877,10.9924,79.31448,206.686
2007/05,83.83731114,10.8301,79.70331,207.949
2007/06,83.93799177,10.8338,79.60771,208.352
2007/07,84.29451153,10.7963,79.27101,208.299
2007/08,84.63792901,11.0363,78.94937,207.917
2007/09,85.29511147,11.045,78.34108,208.49
2007/10,85.62749547,10.8418,78.03698,208.936
2007/11,86.23157924,10.8658,77.4903,210.177
2007/12,86.588099,10.8494,77.17124,210.036
2008/01,86.98944233,10.9171,79.89535,211.08
2008/02,87.24803983,10.7794,79.65854,211.693
2008/03,87.88039693,10.7346,79.08535,213.528
2008/04,88.080379,10.5295,78.90579,214.823
2008/05,87.98521512,10.4542,78.99113,216.632
2008/06,88.34932041,10.3305,78.66559,218.815
2008/07,88.84169006,10.239,78.22962,219.964
2008/08,89.35474751,10.0906,77.78044,219.086
2008/09,89.96365843,10.5744,77.25399,218.783
2008/10,90.57670692,12.4738,76.73112,216.573
2008/11,91.60626978,13.0609,75.86874,212.425
2008/12,92.24069566,13.3726,75.34691,210.228
2009/01,92.4544696,13.8492,78.64744,211.143
2009/02,92.65858923,14.518,78.47418,212.193
2009/03,93.19164489,14.7393,78.02531,212.709
2009/04,93.51782254,13.489,77.75317,213.24
2009/05,93.24543317,13.2167,77.9803,213.856
2009/06,93.41714191,13.3439,77.83697,215.693
2009/07,93.67160186,13.3619,77.62552,215.351
2009/08,93.89571969,13.0015,77.44024,215.834
2009/09,94.36671195,13.3987,77.05373,215.969
2009/10,94.6522036,13.2626,76.82132,216.177
2009/11,95.14319406,13.1305,76.42488,216.33
2009/12,95.53695186,12.8504,76.10989,215.949
2010/01,96.57547944,12.807,78.94348,216.687
2010/02,97.13405005,12.9624,78.48952,216.741
2010/03,97.8236434,12.6138,77.93622,217.631
2010/04,97.5119472,12.242,78.18534,218.009
2010/05,96.89751953,12.6826,78.68111,218.178
2010/06,96.86717743,12.7234,78.70576,217.965
2010/07,97.0775034,12.8341,78.53523,218.011
2010/08,97.34713439,12.7261,78.31771,218.312
2010/09,97.85743347,12.861,77.9093,218.439
2010/10,98.46151724,12.4535,77.43131,218.711
2010/11,99.25041203,12.3251,76.81585,218.803
2010/12,99.74209209,12.4011,76.43718,219.179
2011/01,100.228,12.1477,79.19002,220.223
2011/02,100.604,12.0726,78.89406,221.309
2011/03,100.797,12.0173,78.74299,223.467
2011/04,100.789,11.7584,78.74924,224.906
2011/05,100.046,11.6479,79.33408,225.964
2011/06,100.041,11.792,79.33805,225.722
2011/07,100.521,11.676,78.9592,225.922
2011/08,100.68,12.1707,78.8345,226.545
2011/09,100.927,12.9291,78.64157,226.889
2011/10,101.608,13.4808,78.1145,226.421
2011/11,102.707,13.6358,77.27864,226.23
2011/12,103.551,13.7516,76.64878,225.672
2012/01,104.284,13.5047,79.30858,226.665
2012/02,104.496,12.8014,79.14768,227.663
2012/03,104.556,12.7561,79.10226,229.392
